Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
404,1,2,3,1,2,5,1,1,2,,,Chick-fil-a,Chipolte,Sticks,,,2,2,1,1,1,2,2,1,2,,1,2,3,2,2,0,0,,,,,,,7,Healthcare,,,,,5,,7,8,9,10,,1,,,,5,6,,,,,,12,13,14,15,16,17,,4,1,2,3,4,5,,,1,,,,,,,1,2,1,6,6,6,6,,1,1,3,2,1,3,3,2,1,
406,1,1,4,1,1,4,1,1,5,,,Bodos,Jason's Deli,Bellair Market,Panera,Burton's,1,2,1,1,1,1,1,1,2,,1,1,2,3,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,16,,,2,1,2,3,4,5,,,,,,4,,,,1,6,6,1,1,6,6,,4,2,3,1,1,2,2,1,3,
407,1,4,4,2,2,1,1,3,5,2,,Sticks,Chickfila,Chipotle,Picola's Pizza,,2,2,2,1,1,2,2,1,3,,2,2,3,1,0,0,0,,,,,,,7,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hockey/Floorball/Wiffleball,2,1,2,3,,5,,,,,,4,,,,1,5,5,5,5,6,6,,2,2,4,1,1,2,2,1,2,
408,1,2,2,2,2,6,1,1,2,2,,eppies,market st. market,sticks,baggbys,,2,2,1,1,1,2,2,1,2,,1,1,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,5,,,8,9,,11,12,,14,,,,,1,,,,,,,,1,,,,,,,1,2,1,1,1,1,6,,2,3,3,1,2,2,2,3,2,
410,1,3,3,2,2,5,1,1,2,1,,burger king,zaxby's,new york deli,plaza azteca,cookout,2,1,1,1,1,1,1,1,2,,1,3,2,2,0,0,0,,,,,5,,,disabled,,,,,,,,,,,,1,,,,,,,,,,,,,14,,16,,,2,1,2,,4,5,,,,2,,,,,,1,1,6,6,1,6,6,,3,2,2,1,3,2,3,3,3,
411,1,1,2,2,2,5,2,1,2,1,,Panera,Noodles,Chick-fil-a,Sticks,Pierces,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,6,1,6,6,6,6,,3,3,3,3,3,3,3,3,3,
412,1,2,2,1,2,3,5,,2,,,Sticks,Wendys,Cook Out,Chipotle,Noodles and Co,2,2,2,2,1,2,2,1,2,,1,3,3,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,2,1,2,3,4,5,,,,2,,,,,,1,2,6,6,1,6,6,,3,2,3,1,1,1,1,1,,
413,1,3,4,1,2,4,3,1,3,1,,Panera,Cafe caturra,Desserterie,Bakers crust,Sticks,1,1,2,2,1,2,2,2,5,,1,2,2,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,14,,16,,,2,1,2,3,4,5,,,,,,4,,,,1,1,1,6,6,6,6,,4,1,1,1,1,1,1,1,1,
414,1,1,4,2,1,5,1,1,4,1,,Tavola,Ten,C&O,Mas,Blue Light Grill,2,1,1,2,1,1,2,1,3,,2,3,3,2,0,0,0,,,,,,,7,Retired government,,,,,,,,,,,n/a,,,,,,,,,,,,,,14,15,,,"Pour at winery, classical music, read",1,,,,,,,,,,,4,,,,1,6,3,6,6,6,6,,2,4,1,1,4,1,3,1,3,
415,1,3,2,2,1,5,,2,3,,,Northside Grille,The Continental,O'Banks,Ruby Tuesdays,Varies,2,3,3,2,1,2,1,1,1,,1,3,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,1,,,,,,,1,6,6,6,6,6,6,,2,3,3,1,3,3,4,1,2,
416,1,2,2,1,2,7,3,1,3,1,,"Subway,Stick's,Lin Garden,Mekong",,,,,1,2,1,1,1,1,1,1,2,Strongly Prefer Healthy Menu Options. :D,2,2,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,"Working Out, Walking..",1,,,,,,,,,2,,,,,,1,,1,,,,,,1,1,3,1,1,3,3,3,6,
417,1,2,2,2,3,6,4,3,3,1,,Chipotle,Sticks,Martins,New York deli,Food for tgought,1,3,1,1,1,1,1,1,1,,1,3,3,2,1,1,1,,,,,,,7,Dental,,2,,,,6,,,,,,,,,,5,,,,,,,,,14,,,,,3,,,,4,5,,,,,,4,,,,1,4,4,2,1,6,6,,1,1,1,1,1,1,1,1,1,
418,1,1,2,1,1,1,3,1,1,3,,El Vaquero,Subway,Fabio's,Stick's,Gordonsville BBQ,1,1,1,2,1,2,2,1,2,,1,3,2,2,1,,,1,,,,,,,,1,,,,,,,8,,10,Basketball,,,,,,,,,,,,,,14,15,,17,,2,,2,,,5,,,1,,,,,,,1,1,1,,,,,,4,3,3,1,2,3,,3,3,
419,1,2,4,2,1,2,3,3,2,2,,Subway,McDonald's,variety of independent sit down restaurants,,,1,1,1,2,1,1,1,1,1,,1,2,2,2,1,0,0,,,,,5,,,Please reconsider these types of questions to include non-professional occupations. It's really giving me the impression that's the only demographic you're trying to attract.,1,,,,,,7,8,9,10,"cultural events, art classes",1,,,,5,6,,,,10,11,,,14,15,16,17,,2,,2,3,,,,,,2,,,,,,1,6,1,1,6,6,6,,2,3,3,2,3,2,2,2,1,
420,1,2,2,2,2,2,2,1,3,1,,Stix,Little johns,Jimmy johns,,,1,1,1,1,1,1,1,1,1,,1,2,1,1,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,14,15,,17,,2,,,,,5,,,1,,,,,,,1,4,3,3,3,6,6,,1,1,1,1,1,3,1,1,1,
421,1,2,3,3,3,2,1,5,2,1,,Sticks,Plaza Azteca,Chez Foushee,Starlite,Qudoba,2,2,2,3,1,2,2,1,2,,2,2,3,2,,,,,2,,,,,,,,,,,,,,,,,,1,,,,5,,,8,,,,,,14,,16,,,2,,,3,4,5,,,1,,,,,,,1,6,3,4,1,6,6,,3,3,3,1,1,1,2,1,2,
422,1,1,3,1,1,1,4,1,2,2,,Taco Bell,McDonalds,Pizza Hut,Wendys,Sticks,1,1,1,1,1,1,1,1,3,,1,3,1,2,,1,,,,,,,,7,HR,,,,,,6,,,,,,,,,,,,,,,,,12,13,,,,,,2,1,,,4,5,,,,,,4,,,,1,,1,,,,,,1,3,3,3,2,1,1,1,3,
423,1,1,4,2,2,6,6,1,1,1,,Tokoyo Rose,Sticks,Papa John's,Little John's,Chipotle,1,1,1,2,1,2,2,1,2,,2,3,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,no children,,,,,,,,8,,,,,,14,15,,,,5,1,,,4,5,6,,1,,,,,,,1,1,6,1,6,6,6,,1,3,1,1,1,1,1,1,1,
424,1,2,2,1,2,1,5,1,2,1,,Sticks,Panera,Chipotle,Me Kong,Greek Grill,2,1,1,1,1,2,2,1,2,Vegetarian options,1,2,2,2,0,0,0,,,,,,,7,scientist,,,,,,,,,,,,,,,,,6,,,,,,12,,14,,,,Dog walking,2,,,3,,,,,1,,,,,,,1,2,6,6,6,6,6,,3,1,1,1,1,1,3,1,2,
425,1,2,2,1,1,6,6,1,1,1,"I work @ home, soooooooo......",Stix,Wright's Dairy Rite (Staunton),Bodo's,,,2,2,1,1,1,1,2,1,1,Needs to be different from what I cook and have available here in the Augusta County area.,1,3,2,2,,,1,,,,,5,,,Artist/Registered Nurse.,,,,,,,,,,10,"24 YO lives at home, he does Tough Mudders, yoga and fitness and has his own Tattoo shop and he is an artist as well.",1,,3,,,,,,,10,11,,,14,,,,"Play guitar, banjo, etc Read a lot. Arts and ceramics. My vocation is my avocation.",3,1,,,,5,,,1,,,,,,Heard about it on WNRN and then saw it when I drove by.,1,3,,,,,,,3,1,3,1,1,1,3,1,1,"No kabob shops here, except heard Harrisonburg has one now, but not with the ability to choose from sides, sauces, etc. that Sticks has."
426,1,3,2,2,2,6,1,1,3,1,,Mi Jalisco,Pho So 1,Jade,Thai Diner,Tip Thai,2,2,2,3,1,2,2,1,3,,1,2,3,2,1,,,,,,,,,7,Engineer,,,,,5,,,8,9,,,,,,,,,,,,,,,,14,,16,17,,1,,,,,,,,,,,4,,,,1,6,6,1,1,6,6,,4,2,3,2,1,6,2,2,6,
427,1,2,2,2,2,3,3,1,6,1,,panera bread,wich wich,jimmie johns,subway,sticks,1,1,2,3,1,2,1,1,3,,1,2,3,2,,,,,,,,,,7,Veterinary Practice Manager,,,,,,,,,,,,,,,,,6,,8,,10,,12,,,,,,dog training,1,,,,,,,,1,,,,,,,1,1,1,6,1,1,,,4,1,1,1,1,4,3,1,3,
428,1,2,2,1,1,2,6,1,2,1,,Tokyo Rose,Bodos,Sticks,Basil,El Tepeyac,2,2,2,2,1,1,1,1,1,,1,2,2,2,2,,,,,,,,,7,,1,,,,5,,7,8,9,10,,1,,,,5,6,,,,10,,,,14,15,16,17,,3,1,2,3,4,5,6,,,,,4,,,,1,1,6,1,1,6,6,,2,3,4,2,2,2,2,1,2,
429,1,3,4,2,2,5,1,1,4,1,,Bodo's Bagels,Panera,Mudhouse,Bellair Market,Little John's,1,2,1,1,1,1,2,2,2,,1,1,1,1,,,,,,,,,,7,Student,,,,,,,,,,,,1,,,,5,,,,,,,,,14,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,3,3,3,2,2,2,2,2,2,
430,1,2,2,3,2,3,3,1,4,1,,Arianas kebab,Revolutionary Soup,Panera,Oriental express,Sultans kebab,2,2,1,1,1,1,2,1,2,,1,2,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,6,,,9,10,,12,,14,,,,Dancing,1,,,,,,,,1,,,,,,,2,,,,,,,,3,3,5,3,3,3,3,3,6,
431,1,2,4,2,2,3,,1,5,2,,Beer Run,Bellair Market,Burton's,Sedona,Timberwood,2,1,1,2,1,1,1,1,2,,1,3,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,11,12,,14,15,16,,,1,,,,,,,,1,,,,,,,1,3,1,6,6,1,6,,3,2,2,1,3,3,4,3,3,
432,1,1,2,1,1,,6,,,,,Lord Hardwicke's (Ruckersville),Timberwood,Fabios (Ruckersville),Guadalajara (Forest Lakes),Sticks,2,2,2,2,1,2,2,2,2,,1,2,2,2,3,,,,,,,,,7,,,,,,,,,,,10,"Softball, t-ball, karate",,,,,5,6,,,,10,,,,14,15,,,,1,,,,,,,,1,,,,,,,1,2,,,,,,,1,1,1,1,1,1,1,1,1,
433,1,2,4,2,2,4,3,1,2,2,,Zaxbys,Tropical Smoothie,Sal's,Sticks,Chick Fil A,1,1,2,1,1,1,1,1,2,,1,3,3,2,,2,,,,,,5,,,,,,,,5,,,,,,Dance and Cross Country Runner,1,,,,,,,,,,11,,13,14,15,,17,,1,,,,,,,,,,,4,,,,1,3,6,1,6,6,6,,3,2,3,1,2,3,3,3,3,
434,1,3,2,2,3,6,1,1,3,1,,Vitos (lovingston),Sticks,Christians,Rev Soup,Just Curry,2,2,1,1,1,2,2,2,2,,2,2,3,2,1,,,,2,,,,,,,1,,,,5,,7,,,,,,,,4,,6,,8,,,,,,14,15,,17,,1,,,,,,,,1,,,,,,,1,6,3,6,1,6,6,,2,1,1,1,1,1,2,1,2,
435,1,2,1,2,1,1,3,1,3,1,,Sticks,Cogans,,,,1,1,1,1,1,1,1,1,1,,1,2,2,2,1,0,0,,,,,,,7,,,,,,,,,,,,,1,,3,4,5,,,,,,11,,,,15,,,,1,,,,,,,,1,,,,,,,1,5,6,6,6,6,6,,2,,2,1,2,1,2,2,2,
436,1,1,4,2,2,1,3,1,4,1,,Jasons Deli,Panera Bread,Chipotle,Sticks Kebob,Quiznos,1,1,1,1,1,1,2,1,3,,2,2,1,1,,,,,,,,,,7,Property Management,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,2,,2,3,4,,6,,1,,,,,,,1,2,6,6,6,6,6,,1,2,1,1,1,3,3,2,6,
437,1,3,2,1,1,4,4,1,2,1,,Shorty's,Ichaban,Pita Pit,Honeybutters,Applebee's,1,1,1,1,1,2,2,1,3,,1,2,2,2,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,3,,5,6,,8,,10,,,13,14,15,16,,,1,,,,,,,,,,,4,,,,1,6,1,6,6,6,6,,3,3,4,1,3,3,2,1,3,
438,1,1,2,1,2,2,3,,2,3,,Panera,Chipotle,Noodles & Co.,Cathay Gourmet,Little Caesars,1,2,1,2,1,2,2,1,3,,1,3,2,2,,2,,,,,,,,7,,1,,,,5,6,,,,,field hockey,1,,,,,,,8,,,,,,,,,,,2,1,2,3,,,,,,,,4,,,,1,1,6,6,6,6,6,,3,3,4,2,1,2,2,2,6,
439,1,2,2,2,2,4,1,1,3,1,,Bodo's,Jak n' Jill,,,,1,1,1,1,1,1,1,1,1,,2,2,3,2,2,,4,,,,,,,7,,1,,,,,,7,,9,10,,,,,,5,6,,,,,,,,14,15,,,,1,,,,,,,,,,,4,,,,1,,1,,,,,,3,3,4,3,3,3,3,3,6,
440,1,3,2,1,2,2,3,1,1,4,,Blue Ridge Pig,Cracker barrel,Vito's Italian Restaurant,,,2,1,1,1,1,2,2,1,1,,1,2,3,2,2,0,0,,,,,5,,,,1,,,,5,6,,8,9,,,1,,3,,5,6,,,,10,,12,,14,15,16,17,,3,,2,3,4,5,,,1,,,,,,,1,1,1,6,6,6,6,,3,2,1,1,1,1,1,1,1,
441,1,3,4,3,3,5,1,1,3,2,,El Jaripeo,McDonald's,Riverside Lunch,Wendy's,Chipotle,,,,,,,,,,,1,3,2,2,3,0,0,,,,,,,7,,1,,,,5,,,,,,,,,,,,,,,,,,,,14,,,,,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,1,3,4,1,1,3,6,1,1,1,,Anna's Pizza,Jalapenos,Sals,Sticks,Zaxbys,1,1,1,1,1,1,1,1,1,Vegetarian Options are very important,1,3,2,2,0,1,0,,,,,,,7,,,,,,,,,8,,,Dance,1,,,,5,,,8,,,,,,14,,16,17,,2,,2,3,4,5,6,,1,,,,,,,1,2,6,6,6,6,6,,3,2,2,1,2,3,3,3,3,
443,1,3,4,1,1,3,1,1,4,1,,Sticks,Qodba / chipotle,Mekong,Thai diner two,Jason's deli,5,5,2,2,1,2,2,1,3,,1,2,3,2,2,,,,,,,,,7,,1,,,,,,,,,,Teeball and gymnastics,,,,,,,,,,,,12,,14,15,,17,,2,,,,,5,,Restaurants website,,,3,,,,,1,5,6,6,6,6,,I stop in a get hummus to go all the time.,4,3,3,3,2,3,3,1,3,
444,1,3,4,1,1,4,4,1,1,3,,Chick fila,Sticks,Arby's,,,1,1,1,1,1,1,1,1,1,,1,2,1,2,0,0,0,,,,,5,,,Dental hygienist,,,,,,,,,,,,1,,3,,,6,,8,9,10,11,12,,,,16,,,2,,2,,4,,,,,,,4,,,,1,1,6,1,1,6,6,,1,1,1,1,1,1,1,1,1,
446,1,1,2,2,2,4,1,1,4,1,,Panera,McAlisters deli,Sticks,,,1,1,1,1,1,1,1,1,2,,1,3,2,2,,1,,,,,,,6,,,,,,,,,,,,10,Volleyball,,,,,,,,,,,,,,,,,,,2,,,,4,5,,,1,,,,,,,1,,,3,,,,,3,3,3,1,3,3,3,3,3,
447,1,2,3,2,2,3,4,1,2,2,,Bluegrass Grill,Timberwood Grill,Sticks Kebob Shop,Bonefish Grill,Sakura,1,1,1,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,3,1,6,6,6,6,,3,3,3,2,2,2,2,1,3,
448,1,3,2,1,1,4,1,1,3,1,,Chick fil a,Sticks,Chinese,,,1,2,1,1,1,1,1,1,1,,1,2,2,2,1,,,,,,,,,7,,,,,,,,,8,,,tball,,,,,,,,,,,,,,14,,,17,,1,,,,,,,,,,,4,,,,1,4,1,6,6,6,6,,1,2,2,1,1,1,1,1,1,
449,1,1,2,2,2,,4,,,,,Raising Canes,Starbucks,Stix Kebob Shop,,,2,2,2,2,1,2,2,1,6,,1,3,2,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,5,,,8,9,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,6,6,6,6,6,,2,2,2,2,1,2,2,2,6,
450,1,2,4,2,2,1,1,1,3,3,,Sals Lake Monticello,Lake Bistro,Applebees,Sticks,Subway,1,1,1,1,1,1,1,1,1,,2,3,2,2,1,,1,,,,,,,7,,1,,,,,6,,,,,,1,,,,,,,,9,,,,,14,,,17,,2,,,,4,5,,,,,,4,,,,1,2,6,6,6,6,6,,3,1,1,1,1,1,3,1,1,
452,1,2,4,2,1,5,2,1,3,1,,Subway,Various pizza places,Panders,Wendy's,,2,2,2,2,1,2,2,2,3,,1,3,3,2,,2,,,,,,5,,,,,,,,5,6,7,8,,10,,,,,,5,,,8,,10,,,13,,15,16,,,2,1,2,,,,,,,2,,,,,Radio 106.1,2,,,,,,,,5,2,3,1,1,3,3,2,1,
453,1,2,4,1,1,4,1,1,4,2,,Sticks,Mas,Tavola,Beer Run,,1,,,1,,,1,,,,2,2,2,2,,,,,,,4,,,,,,,,,,,7,,,,,,,,,,,,,,,11,12,,,,,,,2,1,,3,,5,,,,,,4,,,,1,1,,2,,,,,,,5,,1,,,1,,
454,1,2,4,2,2,,5,,2,,,chik-fil-a,5 Guys,sticks,,,2,3,1,2,1,2,2,2,2,,1,1,2,2,,,,,,,,,,7,Administrative assistant,,,,,,,,,,,,,,3,4,5,6,,8,,10,,12,,,,,,,3,,,,4,5,,,1,,,,,,,1,1,,,1,,,,3,3,4,2,3,3,3,3,3,
455,1,1,3,2,2,1,4,1,3,,Ate lunch served at a meeting twice,Christian's pizza,Bodo's,revolutionary soup,Continental divide,Sticks,2,2,4,2,1,2,2,4,2,"Vegetarian options, local foods",1,2,3,2,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,,,5,6,,8,,10,11,,,14,,16,,,1,,,,,,,,1,,,,,,,1,6,3,6,6,6,6,,3,2,2,1,2,2,3,3,3,
456,1,1,4,2,1,7,1,1,1,1,,Carrabas,Subway,Ruby Tuesday,Sticks,Victoria,2,2,1,1,1,2,2,1,3,,2,4,2,2,0,0,0,,,,,5,,,Retired educator,,,,,,,,,,,,,,3,,,6,,8,,,11,,,,,16,,,1,,,,,,,,,,,4,,,,1,6,3,6,6,6,6,,3,4,2,4,2,1,4,1,3,
457,1,3,4,2,2,3,5,2,1,1,,Starbucks,Christian's Pizza,Sticks,Kabuto,East Garden,2,2,1,1,1,2,2,1,2,,2,3,3,2,2,,,,,,,5,,,,,,,4,,,7,8,,10,,,,,,,6,,,,,,,,14,,,17,,2,,,,4,5,,,,,,,5,,,1,6,2,6,1,6,6,,3,4,2,1,2,3,3,2,3,
458,1,3,2,1,2,2,3,,3,3,,bodos,sticks,cafe at monticello (work),Whole Foods,,2,2,2,2,2,2,2,2,2,,1,3,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,16,,,1,,,,,,,,1,,,,,,,1,,3,,,,,,2,1,1,1,1,3,3,1,2,
459,1,1,3,2,2,,5,1,2,1,,Chipotle,Bodos,Sticks,Little Johns,Subway,1,2,1,3,1,2,2,1,3,,1,1,1,1,,,,,,,,,,7,Student,,,,,,,,,,,,1,,,,5,,,,,,,,,,15,,,,3,1,2,3,4,5,6,,,,,4,,,,1,3,3,6,2,6,1,,1,2,1,2,1,2,1,1,1,
460,1,1,2,1,1,1,1,3,3,2,,Sticks,Applebees,Red Lobster,Tip Top,Sams Kitchen,2,2,1,2,1,1,2,1,2,,1,3,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,3,,,,,,,,,,,,15,,,,2,1,2,3,,5,6,,1,,,,,,,1,,,,2,6,6,,1,1,1,1,1,1,1,1,1,
461,1,1,1,1,1,4,4,1,2,1,,Mona Lisa Pizza,Panera,Chipotle,Sticks,Ace Biscuit,1,2,2,1,1,2,3,1,3,,2,2,1,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,6,,,,,11,,,,,,,,1,,,,,,,,,,,4,,,,1,,4,,,,,,1,3,3,2,2,2,2,1,2,
462,1,2,3,1,1,2,2,1,1,1,,Chic fila,Chipotle,Panera,Tropical smoothie,Bonefish grill,1,2,2,1,1,1,2,1,3,,1,2,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,8,,,,,,14,15,16,,,2,,,,4,5,,,,,,4,,,,1,3,,2,,,,,3,3,3,2,3,3,2,1,1,
463,1,3,3,1,1,6,6,6,6,6,,Thai top 10,Mamas kitchen,Chick fil a,IHOP,Mikes,1,1,1,1,1,1,1,1,1,,2,1,3,1,,,,,,,4,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,
466,1,1,4,2,1,1,2,1,5,,,Panera,India K Raja,Thai Diner,Qdoba,Jason's Deli,1,1,1,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,6,6,6,6,,3,2,3,1,1,3,3,2,3,
467,1,2,2,2,3,3,4,1,3,1,,McDonalds,Woodgrill,Hibachi Grill,Wendys,Sticks,1,2,1,2,1,2,2,1,3,,2,2,2,2,2,,,,,,,,,7,IT,,,,,,,,,,10,,,,,,5,,,8,,,,,,14,15,,17,,2,1,,,,,,,1,,,,,,,2,,,,,,,,3,3,4,1,1,3,3,3,6,
468,1,1,1,1,1,6,1,1,3,1,,Moe's,Chic fila,Wendy's,,,1,1,1,1,1,1,1,1,1,,1,2,2,2,1,1,,,,,,,,7,Financial Director,,,,,,,,8,9,,baseball,,,,,5,,,,,,,,,,,,17,,4,1,,3,4,5,,,1,,,,,,,1,6,1,6,6,6,6,,2,2,4,3,3,3,3,3,3,
469,1,2,1,2,3,2,5,,2,2,,Chick-Fil-A,Pizza,Shorty's,Olive Garden,Pierces,1,1,1,2,2,2,3,1,3,,1,3,2,2,,1,,,,,,,,7,,,,,,,6,,8,,,,,,,,,,,8,,,,,,14,,16,,reading,5,1,,3,4,5,6,,,,,4,,,,1,1,1,6,1,1,6,,3,3,4,,2,3,3,3,6,
470,1,2,4,2,2,2,2,6,6,2,,Sticks,Applebees,Mcdonalds,Arbys,Mexican,1,1,1,1,1,1,1,1,1,,1,2,1,1,1,,,,,,,,,7,student,,,,,,,,8,,10,baseball/ballet,1,,,,,,,,,,,,,,,,17,,4,1,2,3,4,5,,,1,,,,,,,1,3,,2,2,6,2,,1,1,1,1,1,1,1,1,1,
471,1,2,2,2,2,1,1,4,3,1,,McDonald's,Red Lobster,Sticks,Applebee's,Guadalajara,2,2,1,3,1,1,2,1,2,,1,2,1,2,2,0,0,,,,,,,7,Medical Coder,,2,,,,,,8,9,,,1,,,,,,,,,,,,,14,,,17,,2,1,,,,5,6,,1,,,,,,,1,3,6,,1,6,6,,3,4,4,1,2,3,3,2,2,
472,1,2,4,2,2,1,1,1,6,1,,Bodo's,Sticks,Chipotle,Zazus,Duners,3,3,2,2,2,2,2,2,2,,2,4,3,2,,,1,,,,,5,,,,,,,,5,,7,,,10,,,,,,,6,,8,,,,,,14,15,16,,Travel,3,1,,,4,5,,UVa athletic team rosters (basketball),,,,4,,,,1,1,4,1,1,6,6,,4,3,3,3,2,3,3,3,2,
473,1,2,2,2,2,5,1,1,3,,,sticks,greek grille,,,,1,2,2,2,2,2,2,2,1,,1,3,3,2,,3,,,,,,,,7,,,,,,,,,8,9,,,1,,,,,,,8,,,,,,14,,16,,,2,1,2,3,,5,,,,,,4,,,,1,5,3,6,6,6,6,,2,2,2,2,2,2,2,2,2,
474,1,1,2,2,1,7,,,7,,,Christians Pizza,Sticks Kabob Shop,Nami,Savour,Bonefish Grill,1,1,1,1,1,1,1,1,1,,1,3,3,1,,,,,,,,5,,,UVA Project Director,,,,,,,,,,,,,,,,,,,,9,,11,12,,14,,16,,,2,,2,,,5,,,1,,,4,,,,1,3,1,,,,,,1,1,1,1,1,1,1,1,1,
475,1,2,2,2,2,1,2,1,5,2,,sticks,maya,hamiltons,zocalo,mcdonalds,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,,,,,,,,,7,manager,1,,,,5,6,,,,10,,,2,,,,,7,8,,,11,12,,14,15,,,,2,1,,,4,,6,,,,,,5,,,1,4,,3,2,1,6,,1,1,1,1,1,1,1,1,1,
476,1,2,4,2,1,1,2,1,5,1,,Christian's Pizza,Sticks,Cafe 88,Five Guys,Chipotle,2,1,1,1,1,1,2,1,3,,2,2,1,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,5,6,6,6,6,6,,3,1,2,,1,1,2,1,2,
477,1,3,4,2,1,1,4,1,3,1,,Bodo's Bagels,Panera Bread,Sticks,Christian's Pizza,Five Guys,1,1,1,2,1,1,2,1,2,,2,2,1,1,,,,,,,,,,7,Purchasing Specialist at Medical Manufacturer,,,,,,,,,,,,1,2,,,5,6,7,,,10,,,,14,15,16,,,1,,,,,,,,,,,4,,,,1,2,6,,,6,6,,1,3,3,3,1,1,1,1,3,
478,1,3,3,2,2,,5,,,2,,Bonefish,sticks,bodos,outback,,1,1,1,1,1,1,1,1,1,,1,3,2,2,,,1,,,,,,,7,Dietitian,,,,,,,,,,,PVCC,1,,,,5,,,,,,,,,14,,16,,,3,1,,,4,,6,,1,,,,,,,1,6,6,,1,1,,,4,1,2,1,1,1,3,1,,
479,1,2,2,2,2,7,1,1,2,1,,Sticks,Wendy's,MacDonald's,Thai 99,Chic fil a,2,2,1,1,1,2,2,1,2,,1,4,1,1,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,,,,,,8,,,,12,,,,,17,,4,1,,3,4,5,6,,,2,,,,,Club Red,1,3,4,4,5,6,6,,3,1,1,1,1,1,1,1,2,
480,1,1,4,1,2,1,5,1,3,1,,Bodos,Cafe Cubano,Beer Run,Fellini's,,1,2,1,1,1,1,1,1,1,,1,3,2,1,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,,,8,,,,,,14,,,,,1,,,,,,,,1,,,,,,,1,6,1,6,6,6,6,,1,3,1,1,2,1,2,1,1,
481,1,1,4,1,1,1,2,1,5,1,,panera,sticks,chick fil a,subway,,2,2,1,1,1,2,2,2,2,,1,3,1,2,,2,,,,,,,,7,lawn care sales,,2,,,,6,,,,10,,,,,,,,,,,,,,,14,15,,17,,3,1,2,,4,5,,,1,,,,,,,1,3,1,1,1,6,6,,3,3,3,2,2,3,3,2,3,
