Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
296,1,3,2,1,2,6,1,1,2,2,,Sticks,Feast,Clementines,Speakeasy,Subway,1,1,1,1,1,2,2,2,3,,1,2,2,2,1,1,,,,,,,,7,,,,,,,,,8,9,,,,,,,,,,,,,,,,14,,16,17,,2,1,2,3,4,5,,,1,,,,,,,1,1,1,1,1,6,6,,1,1,2,1,1,4,2,2,6,
298,1,2,2,3,1,6,4,1,1,1,,Sub Way,Arbys,McDonalds,Fire House Subs,Five Guys,1,2,1,2,1,2,2,1,2,,2,3,3,2,0,0,0,,,,,,,7,Logistics Management Specialist,,,,,,,,,,,,1,,3,,,,,,,,,,,14,,16,,,2,1,2,,,5,,,,,,4,,,,1,6,6,3,6,6,6,,2,2,2,1,1,2,2,2,3,
299,1,1,4,2,2,2,1,2,5,2,I work for dominoes.   Eat free za often,Mcdondalds,Wendys,Dominoes,Wing place,Chinese buffet place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1,1,3,2,1,7,1,1,1,1,,ruby tuesdays,red robin,applebees,,,4,1,1,1,1,2,2,1,4,,1,3,3,2,,2,,,,,,,6,,,,,,4,5,,7,8,,10,field hockey,,,3,,5,6,,,,,,,,14,15,16,,exercise.,2,1,2,,4,5,6,,1,,,,,,,1,6,6,6,1,6,6,,1,1,3,1,1,2,2,1,3,
301,1,1,3,1,1,5,1,1,4,1,,Peking (local buffet),Domino's pizza,Subway,Sticks,Plaza Azteca,2,3,1,2,1,2,2,2,2,,1,3,3,2,,2,,,,,,,6,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,3,4,5,6,"Tide Radio save program  note:  Valpak restaurant coupons are usually not worth much, Groupons are the best deals",,,,4,,,,1,2,6,6,6,6,6,,2,3,6,1,3,3,3,3,3,"We think that Sticks is on the expensive side, but they offer some coupons/deals that we use and feel it is then affordable.  We would not visit very often without these deals."
302,1,1,2,2,2,1,5,1,3,1,,Chipotle,Take it Away,Panera,Sticks,Christian's,2,2,2,1,1,2,2,2,4,,1,3,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,6,,8,,10,11,,,14,15,,,,1,,,,,,,,,,,4,,,,1,2,6,6,6,6,6,,3,4,3,2,3,3,3,3,2,
303,1,3,2,2,2,1,1,5,3,4,,Wendys,Hardee's,Mcdonalds,,,1,1,1,1,1,1,1,1,1,,2,2,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,14,,,,,1,,,,,,,,1,,,,,,,1,6,5,6,6,6,6,,1,1,1,1,1,1,1,1,1,
304,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,4,2,1,1,1,1,6,2,,Everyday cafe - Liberty,Mcdonalds,Wendys,Arbys,Burger King,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,0,0,,,,,,,7,Insurance Adjuster,,,,,,,,,,,none,,,,,,,,,,,,,,14,,,,,3,,,,,,6,,1,,,,,,,1,3,1,6,6,6,6,,1,1,4,1,1,1,1,1,1,
306,1,2,3,3,1,1,1,2,4,2,,Everyday Cafe,Christians,Sticks,McDonalds,Wendys,1,3,1,4,1,2,2,2,4,,1,2,1,2,1,,,,,,,,6,,Insurance professional,,2,,,,,,,,10,,,,,,,,,,,,,,,,15,,17,,2,,,,,5,6,,,,,4,,,,1,3,6,6,6,6,6,,3,4,2,2,2,2,2,2,6,
307,1,2,2,2,2,3,3,1,3,1,,Sticks,Chinese,Vinnys,Outback,,1,1,2,1,1,1,1,1,1,,1,2,1,2,,,,,,,,,,7,RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,4,5,,,,,,4,,,,1,3,1,1,1,6,6,,1,1,1,1,1,1,1,1,1,
308,1,3,3,1,1,5,1,4,3,1,,Sticks,Ace BBQ,Vita Nova,Red Lantern,Jade Garden,1,1,1,1,1,1,1,1,1,,1,2,1,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,,5,,,1,2,,,,,,1,1,1,6,6,6,6,,1,1,1,1,1,1,1,1,1,
309,1,2,3,2,1,3,1,1,4,3,,TAVERN ON THE JAMES,AMICIS,STICKS,CHICK FILET,,1,1,1,1,1,1,1,1,2,,1,3,1,2,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,6,,8,,10,,,,14,,,,,1,,,,,,,,1,,,,,,,1,2,6,6,6,6,6,,3,3,3,2,2,3,3,2,3,
310,1,2,3,2,2,4,2,,3,2,,Bodo's,Sticks,Ariana's,,,1,1,1,1,1,1,2,1,2,,2,3,2,2,2,,,,,,,,,7,,,2,3,,,6,7,,,10,,1,2,,4,5,6,,,,10,,,13,14,15,,17,,2,1,2,3,4,5,6,,1,,,,,,,1,6,2,1,6,6,3,,1,1,4,1,1,1,1,1,1,
311,1,2,3,2,2,2,1,1,4,2,,Carving board,Kyoto,Chick-Fil-A,Sticks,Wendy's,1,2,2,1,1,2,2,1,3,,1,3,2,2,0,0,0,,,,,,,7,Registered Nurse,,,,,,,,,,,,1,,,,,,,,,,,,,14,,,,"art and theatre, ballroom dancing",1,,,,,,,,1,,,,,,,1,4,4,,,,,,1,1,2,1,1,3,3,1,3,
312,1,2,2,2,2,3,4,1,2,2,,Sticks,College Inn,Basil,Lemongrass,,1,1,1,1,1,2,3,1,2,,1,2,1,2,,,,,,,,,6,,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,1,,,,,,,1,6,4,6,6,6,6,,2,2,1,1,1,1,2,2,2,
313,1,2,1,1,1,1,2,1,4,,,sticks,subway,,,,1,1,1,2,1,1,1,1,3,,1,3,2,1,0,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walking,1,,,,,,,,1,,,,,,,1,4,,,,,,,3,3,3,3,3,3,3,3,3,
314,1,3,4,2,3,,6,,,,,Chipotle,Sticks,Osaka Sushi,Plaza Azteca,Superstars,1,1,1,1,1,1,1,1,1,,1,2,3,2,0,0,0,,,,,,,7,Nurse,,,,,,,,,,,,1,2,3,,5,,,,,,11,,,14,15,16,,,1,,,,,,,,1,,,,,,,1,6,2,6,2,6,6,,3,3,3,2,3,2,2,3,2,
315,1,1,3,1,2,4,2,1,2,2,,Kyung Sung,Center Street Grille,The Cove,Chik Fil A,bUFFALO wILD wINGS,,,,,,,,,,,1,2,1,2,2,,,,,,,,6,,,1,,,,,,7,8,9,10,,,,,,,,,8,9,10,11,,13,14,15,16,17,,2,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1,2,1,2,2,2,1,1,5,1,,Chipole,Quordoba,Sticks,Chick fillet,Panera,1,2,4,4,1,2,2,2,3,,1,3,3,2,,U,2,,,,,5,,,Counselor,,,,,,,,,,,Na,,,,,,6,,,,10,,,,14,15,16,,,3,,,3,,,,,1,,,,,,,1,3,,,,,,,2,3,4,2,,3,2,2,3,
317,1,1,4,2,1,3,5,,2,1,,Blue Moon Diner,Downtown Thai,Revolutionary Soup,Shebeen,Ariana Kebob,1,3,3,3,1,2,3,2,1,"Organic meats, local produce",1,2,2,2,1,,,,,,4,,,,,,,,,,,,,,,too young,1,,3,,,,,8,,10,,12,,14,15,,17,Soccer,1,,,,,,,,1,,,,,,Don't remember,1,6,1,6,6,6,6,,2,3,3,3,2,3,4,2,3,
318,1,2,3,2,1,2,2,1,4,,,Jasons Deli,Wendys,Panera,Sticks,Guadalajara,1,1,1,1,1,1,2,2,3,,1,2,2,2,2,1,,1,,,,,,,,,,,,,,,,,,Competition Cheerleading,,,,,5,,,,,,,,,,,,17,,1,,,,,,,,,,,4,,,,1,1,1,1,6,6,6,,4,2,3,2,1,2,2,2,3,
